date,permno,tic,conm,PRC,atq,dlcq,dlttq,SHROUT,market_cap,total_debt,leverage,log_return,equity_volatility,rf,merton_pd,pd_valid
2012-01-04,86868,GS,GOLDMAN SACHS GROUP INC,94.74,923225000000.0,387738000000.0,181724000000.0,492313.0,46641733620.0,478600000000.0,0.6168182187440765,-0.0065229058214339,0.3836555452548638,2.0,,False
2012-01-05,86868,GS,GOLDMAN SACHS GROUP INC,94.58,923225000000.0,387738000000.0,181724000000.0,492313.0,46562963540.0,478600000000.0,0.6168182187440765,-0.0016902602798759,0.3835784956910964,2.02,,False
2012-01-06,86868,GS,GOLDMAN SACHS GROUP INC,93.42,923225000000.0,387738000000.0,181724000000.0,492313.0,45991880460.0,478600000000.0,0.6168182187440765,-0.0123405821417677,0.3836251746684084,1.98,,False
2012-01-09,86868,GS,GOLDMAN SACHS GROUP INC,94.69,923225000000.0,387738000000.0,181724000000.0,492313.0,46617117970.0,478600000000.0,0.6168182187440765,0.0135029429214466,0.3839002924263131,1.98,,False
2012-05-11,86868,GS,GOLDMAN SACHS GROUP INC,102.13,950932000000.0,398392000000.0,179403000000.0,495142.0,50568852460.0,488093500000.0,0.607609166586044,-0.0402069028149823,0.4125183010139493,1.84,,False
2012-05-14,86868,GS,GOLDMAN SACHS GROUP INC,99.77,950932000000.0,398392000000.0,179403000000.0,495142.0,49400317339.99999,488093500000.0,0.607609166586044,-0.0233789746645918,0.4130355870474475,1.78,,False
2012-05-15,86868,GS,GOLDMAN SACHS GROUP INC,99.87,950932000000.0,398392000000.0,179403000000.0,495142.0,49449831540.0,488093500000.0,0.607609166586044,0.0010018033296274,0.4130152796440945,1.76,,False
2012-05-16,86868,GS,GOLDMAN SACHS GROUP INC,98.2,950932000000.0,398392000000.0,179403000000.0,495142.0,48622944400.0,488093500000.0,0.607609166586044,-0.016863124894623,0.4132959141859546,1.76,,False
2012-05-17,86868,GS,GOLDMAN SACHS GROUP INC,97.08,950932000000.0,398392000000.0,179403000000.0,495142.0,48068385360.0,488093500000.0,0.607609166586044,-0.0114708345020196,0.4134144099027843,1.7,,False
2012-05-18,86868,GS,GOLDMAN SACHS GROUP INC,95.49,950932000000.0,398392000000.0,179403000000.0,495142.0,47281109580.0,488093500000.0,0.607609166586044,-0.0165138508962895,0.4135853132722914,1.71,,False
2012-05-21,86868,GS,GOLDMAN SACHS GROUP INC,96.51,950932000000.0,398392000000.0,179403000000.0,495142.0,47786154420.0,488093500000.0,0.607609166586044,0.0106250999569335,0.4126458289804418,1.75,,False
2012-05-22,86868,GS,GOLDMAN SACHS GROUP INC,97.53,950932000000.0,398392000000.0,179403000000.0,495142.0,48291199260.0,488093500000.0,0.607609166586044,0.010513393064879,0.4127459879670596,1.79,,False
2012-05-23,86868,GS,GOLDMAN SACHS GROUP INC,98.04,950932000000.0,398392000000.0,179403000000.0,495142.0,48543721680.0,488093500000.0,0.607609166586044,0.0052155356759881,0.4127675719331517,1.73,,False
2012-05-24,86868,GS,GOLDMAN SACHS GROUP INC,96.86,950932000000.0,398392000000.0,179403000000.0,495142.0,47959454120.0,488093500000.0,0.607609166586044,-0.0121089216848288,0.4129083819670121,1.77,,False
2012-05-25,86868,GS,GOLDMAN SACHS GROUP INC,96.7,950932000000.0,398392000000.0,179403000000.0,495142.0,47880231400.0,488093500000.0,0.607609166586044,-0.0016532345158343,0.4129057383978881,1.75,,False
2012-05-29,86868,GS,GOLDMAN SACHS GROUP INC,97.86,950932000000.0,398392000000.0,179403000000.0,495142.0,48454596120.0,488093500000.0,0.607609166586044,0.0119244834017287,0.4126894573815964,1.74,,False
